email,training type,Week,marks_type,Score
james.williams@msc.com,Cloud Training,Week 1,Lab,7
sarah.johnson@msc.com,Cloud Training,Week 1,Lab,88
michael.brown@msc.com,Cloud Training,Week 1,Lab,12
emily.davis@msc.com,Cloud Training,Week 1,Lab,58
john.miller@msc.com,Cloud Training,Week 1,Lab,5
olivia.garcia@msc.com,Cloud Training,Week 1,Lab,78
david.martinez@msc.com,Cloud Training,Week 1,Lab,27
emma.wilson@msc.com,Cloud Training,Week 1,Lab,86
daniel.anderson@msc.com,Cloud Training,Week 1,Lab,25
sophia.thomas@msc.com,Cloud Training,Week 1,Lab,78
robert.taylor@msc.com,Cloud Training,Week 1,Lab,84
mia.lee@msc.com,Cloud Training,Week 1,Lab,90
william.harris@msc.com,Cloud Training,Week 1,Lab,35
isabella.clark@msc.com,Cloud Training,Week 1,Lab,97
joseph.lewis@msc.com,Cloud Training,Week 1,Lab,63
charlotte.robinson@msc.com,Cloud Training,Week 1,Lab,83
benjamin.young@msc.com,Cloud Training,Week 1,Lab,53
amelia.hall@msc.com,Cloud Training,Week 1,Lab,44
samuel.king@msc.com,Cloud Training,Week 1,Lab,61
abigail.scott@msc.com,Cloud Training,Week 1,Lab,13
alexander.green@msc.com,Cloud Training,Week 1,Lab,67
harper.adams@msc.com,Cloud Training,Week 1,Lab,7
christopher.baker@msc.com,Cloud Training,Week 1,Lab,20
lily.gonzalez@msc.com,Cloud Training,Week 1,Lab,25
matthew.nelson@msc.com,Cloud Training,Week 1,Lab,49
chloe.carter@msc.com,Cloud Training,Week 1,Lab,71
anthony.mitchell@msc.com,Cloud Training,Week 1,Lab,32
grace.perez@msc.com,Cloud Training,Week 1,Lab,78
joshua.moore@msc.com,Cloud Training,Week 1,Lab,78
ella.white@msc.com,Cloud Training,Week 1,Lab,6
andrew.ramirez@msc.com,Cloud Training,Week 1,Lab,76
zoe.walker@msc.com,Cloud Training,Week 1,Lab,13
nicholas.allen@msc.com,Cloud Training,Week 1,Lab,44
layla.rivera@msc.com,Cloud Training,Week 1,Lab,3
ryan.hill@msc.com,Cloud Training,Week 1,Lab,40
hannah.wright@msc.com,Cloud Training,Week 1,Lab,13
justin.flores@msc.com,Cloud Training,Week 1,Lab,67
natalie.collins@msc.com,Cloud Training,Week 1,Lab,16
ethan.edwards@msc.com,Cloud Training,Week 1,Lab,15
aria.turner@msc.com,Cloud Training,Week 1,Lab,8
james.williams@msc.com,Cloud Training,Week 2,Lab,75
sarah.johnson@msc.com,Cloud Training,Week 2,Lab,87
michael.brown@msc.com,Cloud Training,Week 2,Lab,45
emily.davis@msc.com,Cloud Training,Week 2,Lab,84
john.miller@msc.com,Cloud Training,Week 2,Lab,49
olivia.garcia@msc.com,Cloud Training,Week 2,Lab,99
david.martinez@msc.com,Cloud Training,Week 2,Lab,93
emma.wilson@msc.com,Cloud Training,Week 2,Lab,5
daniel.anderson@msc.com,Cloud Training,Week 2,Lab,34
sophia.thomas@msc.com,Cloud Training,Week 2,Lab,74
robert.taylor@msc.com,Cloud Training,Week 2,Lab,9
mia.lee@msc.com,Cloud Training,Week 2,Lab,24
william.harris@msc.com,Cloud Training,Week 2,Lab,52
isabella.clark@msc.com,Cloud Training,Week 2,Lab,4
joseph.lewis@msc.com,Cloud Training,Week 2,Lab,69
charlotte.robinson@msc.com,Cloud Training,Week 2,Lab,48
benjamin.young@msc.com,Cloud Training,Week 2,Lab,14
amelia.hall@msc.com,Cloud Training,Week 2,Lab,6
samuel.king@msc.com,Cloud Training,Week 2,Lab,70
abigail.scott@msc.com,Cloud Training,Week 2,Lab,23
alexander.green@msc.com,Cloud Training,Week 2,Lab,26
harper.adams@msc.com,Cloud Training,Week 2,Lab,6
christopher.baker@msc.com,Cloud Training,Week 2,Lab,86
lily.gonzalez@msc.com,Cloud Training,Week 2,Lab,27
matthew.nelson@msc.com,Cloud Training,Week 2,Lab,65
chloe.carter@msc.com,Cloud Training,Week 2,Lab,59
anthony.mitchell@msc.com,Cloud Training,Week 2,Lab,11
grace.perez@msc.com,Cloud Training,Week 2,Lab,31
joshua.moore@msc.com,Cloud Training,Week 2,Lab,57
ella.white@msc.com,Cloud Training,Week 2,Lab,92
andrew.ramirez@msc.com,Cloud Training,Week 2,Lab,18
zoe.walker@msc.com,Cloud Training,Week 2,Lab,14
nicholas.allen@msc.com,Cloud Training,Week 2,Lab,77
layla.rivera@msc.com,Cloud Training,Week 2,Lab,72
ryan.hill@msc.com,Cloud Training,Week 2,Lab,87
hannah.wright@msc.com,Cloud Training,Week 2,Lab,68
justin.flores@msc.com,Cloud Training,Week 2,Lab,5
natalie.collins@msc.com,Cloud Training,Week 2,Lab,36
ethan.edwards@msc.com,Cloud Training,Week 2,Lab,6
aria.turner@msc.com,Cloud Training,Week 2,Lab,15
james.williams@msc.com,Cloud Training,Week 3,Lab,59
sarah.johnson@msc.com,Cloud Training,Week 3,Lab,92
michael.brown@msc.com,Cloud Training,Week 3,Lab,45
emily.davis@msc.com,Cloud Training,Week 3,Lab,93
john.miller@msc.com,Cloud Training,Week 3,Lab,83
olivia.garcia@msc.com,Cloud Training,Week 3,Lab,89
david.martinez@msc.com,Cloud Training,Week 3,Lab,83
emma.wilson@msc.com,Cloud Training,Week 3,Lab,34
