email,Graduation Status,Certification Status,Training Type,Source File
james.williams@msc.com,Graduate,Certified,Cloud Training,participant_status.xlsx
sarah.johnson@msc.com,Graduate,Certified,Cloud Training,participant_status.xlsx
michael.brown@msc.com,Graduate,Certified,Cloud Training,participant_status.xlsx
emily.davis@msc.com,Non Graduate,Not Certified,Cloud Training,participant_status.xlsx
john.miller@msc.com,Non Graduate,Not Certified,Cloud Training,participant_status.xlsx
olivia.garcia@msc.com,Graduate,Certified,Cloud Training,participant_status.xlsx
david.martinez@msc.com,Graduate,Not Certified,Cloud Training,participant_status.xlsx
emma.wilson@msc.com,Graduate,Not Certified,Cloud Training,participant_status.xlsx
daniel.anderson@msc.com,Graduate,Not Certified,Cloud Training,participant_status.xlsx
sophia.thomas@msc.com,Graduate,Not Certified,Cloud Training,participant_status.xlsx
robert.taylor@msc.com,Graduate,Certified,Cloud Training,participant_status.xlsx
mia.lee@msc.com,Graduate,Certified,Cloud Training,participant_status.xlsx
william.harris@msc.com,Non Graduate,Not Certified,Cloud Training,participant_status.xlsx
isabella.clark@msc.com,Graduate,Certified,Cloud Training,participant_status.xlsx
joseph.lewis@msc.com,Graduate,Certified,Cloud Training,participant_status.xlsx
charlotte.robinson@msc.com,Graduate,Certified,Cloud Training,participant_status.xlsx
benjamin.young@msc.com,Graduate,Certified,Cloud Training,participant_status.xlsx
amelia.hall@msc.com,Graduate,Not Certified,Cloud Training,participant_status.xlsx
samuel.king@msc.com,Graduate,Not Certified,Cloud Training,participant_status.xlsx
abigail.scott@msc.com,Graduate,Not Certified,Cloud Training,participant_status.xlsx
alexander.green@msc.com,Graduate,Certified,Cloud Training,participant_status.xlsx
harper.adams@msc.com,Graduate,Certified,Cloud Training,participant_status.xlsx
christopher.baker@msc.com,Graduate,Certified,Cloud Training,participant_status.xlsx
lily.gonzalez@msc.com,Graduate,Certified,Cloud Training,participant_status.xlsx
matthew.nelson@msc.com,Non Graduate,Not Certified,Cloud Training,participant_status.xlsx
chloe.carter@msc.com,Graduate,Certified,Cloud Training,participant_status.xlsx
anthony.mitchell@msc.com,Non Graduate,Not Certified,Cloud Training,participant_status.xlsx
grace.perez@msc.com,Graduate,Certified,Cloud Training,participant_status.xlsx
joshua.moore@msc.com,Graduate,Certified,Cloud Training,participant_status.xlsx
ella.white@msc.com,Graduate,Not Certified,Cloud Training,participant_status.xlsx
andrew.ramirez@msc.com,Graduate,Certified,Cloud Training,participant_status.xlsx
zoe.walker@msc.com,Non Graduate,Not Certified,Cloud Training,participant_status.xlsx
nicholas.allen@msc.com,Graduate,Certified,Cloud Training,participant_status.xlsx
layla.rivera@msc.com,Graduate,Not Certified,Cloud Training,participant_status.xlsx
ryan.hill@msc.com,Graduate,Certified,Cloud Training,participant_status.xlsx
hannah.wright@msc.com,Graduate,Certified,Cloud Training,participant_status.xlsx
justin.flores@msc.com,Graduate,Certified,Cloud Training,participant_status.xlsx
natalie.collins@msc.com,Non Graduate,Not Certified,Cloud Training,participant_status.xlsx
ethan.edwards@msc.com,Graduate,Certified,Cloud Training,participant_status.xlsx
aria.turner@msc.com,Graduate,Certified,Cloud Training,participant_status.xlsx
emilyjohnson@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
lucasanderson@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
benjaminharris@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
isabellamoore@example.com,Graduate,Not Certified,PowerBI Training,participant_status.xlsx
jamescarter@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
oliviamartin@example.com,Non Graduate,Not Certified,PowerBI Training,participant_status.xlsx
alexanderwright@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
sophialewis@example.com,Graduate,Not Certified,PowerBI Training,participant_status.xlsx
michaelscott@example.com,Non Graduate,Not Certified,PowerBI Training,participant_status.xlsx
ameliaclark@example.com,Graduate,Certified,PowerBI Training,participant_status.xlsx
