Name,Email,Join Time,Leave Time,Duration,Role,Week,Training Type,Source File,Date,Attendance Status
James Williams,james.williams@msc.com,2026-02-25 18:09:00,2026-02-25 19:15:00,66,Participant,Week 1,Cloud Training,05-Aug-2024.csv,05-Aug-2024,Attended
Sarah Johnson,sarah.johnson@msc.com,2026-02-25 18:15:00,2026-02-25 20:00:00,105,Participant,Week 1,Cloud Training,05-Aug-2024.csv,05-Aug-2024,Attended
Michael Brown,michael.brown@msc.com,2026-02-25 18:15:00,2026-02-25 19:21:00,66,Participant,Week 1,Cloud Training,05-Aug-2024.csv,05-Aug-2024,Attended
Emily Davis,emily.davis@msc.com,2026-02-25 18:46:00,2026-02-25 19:34:00,48,Participant,Week 1,Cloud Training,05-Aug-2024.csv,05-Aug-2024,Attended
John Miller,john.miller@msc.com,2026-02-25 18:15:00,2026-02-25 18:46:00,31,Participant,Week 1,Cloud Training,05-Aug-2024.csv,05-Aug-2024,Attended
Olivia Garcia,olivia.garcia@msc.com,2026-02-25 18:18:00,2026-02-25 18:51:00,33,Participant,Week 1,Cloud Training,05-Aug-2024.csv,05-Aug-2024,Attended
David Martinez,david.martinez@msc.com,2026-02-25 18:52:00,2026-02-25 19:36:00,44,Participant,Week 1,Cloud Training,05-Aug-2024.csv,05-Aug-2024,Attended
Emma Wilson,emma.wilson@msc.com,2026-02-25 18:04:00,2026-02-25 19:57:00,113,Participant,Week 1,Cloud Training,05-Aug-2024.csv,05-Aug-2024,Attended
Daniel Anderson,daniel.anderson@msc.com,2026-02-25 18:38:00,2026-02-25 19:32:00,54,Participant,Week 1,Cloud Training,05-Aug-2024.csv,05-Aug-2024,Attended
Sophia Thomas,sophia.thomas@msc.com,2026-02-25 18:24:00,2026-02-25 18:57:00,33,Participant,Week 1,Cloud Training,05-Aug-2024.csv,05-Aug-2024,Attended
Robert Taylor,robert.taylor@msc.com,2026-02-25 18:46:00,2026-02-25 19:03:00,17,Participant,Week 1,Cloud Training,05-Aug-2024.csv,05-Aug-2024,Not Attended
Mia Lee,mia.lee@msc.com,2026-02-25 18:38:00,2026-02-25 19:36:00,58,Participant,Week 1,Cloud Training,05-Aug-2024.csv,05-Aug-2024,Attended
William Harris,william.harris@msc.com,2026-02-25 18:54:00,2026-02-25 20:00:00,66,Participant,Week 1,Cloud Training,05-Aug-2024.csv,05-Aug-2024,Attended
Isabella Clark,isabella.clark@msc.com,2026-02-25 18:15:00,2026-02-25 18:50:00,35,Participant,Week 1,Cloud Training,05-Aug-2024.csv,05-Aug-2024,Attended
Joseph Lewis,joseph.lewis@msc.com,2026-02-25 18:25:00,2026-02-25 19:10:00,45,Participant,Week 1,Cloud Training,05-Aug-2024.csv,05-Aug-2024,Attended
Charlotte Robinson,charlotte.robinson@msc.com,2026-02-25 18:42:00,2026-02-25 19:24:00,42,Participant,Week 1,Cloud Training,05-Aug-2024.csv,05-Aug-2024,Attended
Benjamin Young,benjamin.young@msc.com,2026-02-25 18:52:00,2026-02-25 20:00:00,68,Participant,Week 1,Cloud Training,05-Aug-2024.csv,05-Aug-2024,Attended
Amelia Hall,amelia.hall@msc.com,2026-02-25 18:31:00,2026-02-25 20:00:00,89,Participant,Week 1,Cloud Training,05-Aug-2024.csv,05-Aug-2024,Attended
Samuel King,samuel.king@msc.com,2026-02-25 18:24:00,2026-02-25 19:50:00,86,Participant,Week 1,Cloud Training,05-Aug-2024.csv,05-Aug-2024,Attended
Abigail Scott,abigail.scott@msc.com,2026-02-25 18:52:00,2026-02-25 19:22:00,30,Participant,Week 1,Cloud Training,05-Aug-2024.csv,05-Aug-2024,Not Attended
Alexander Green,alexander.green@msc.com,2026-02-25 18:25:00,2026-02-25 20:00:00,95,Participant,Week 1,Cloud Training,05-Aug-2024.csv,05-Aug-2024,Attended
Harper Adams,harper.adams@msc.com,2026-02-25 18:16:00,2026-02-25 18:30:00,14,Participant,Week 1,Cloud Training,05-Aug-2024.csv,05-Aug-2024,Not Attended
Christopher Baker,christopher.baker@msc.com,2026-02-25 18:23:00,2026-02-25 20:00:00,97,Participant,Week 1,Cloud Training,05-Aug-2024.csv,05-Aug-2024,Attended
Lily Gonzalez,lily.gonzalez@msc.com,2026-02-25 18:27:00,2026-02-25 19:28:00,61,Participant,Week 1,Cloud Training,05-Aug-2024.csv,05-Aug-2024,Attended
Matthew Nelson,matthew.nelson@msc.com,2026-02-25 18:58:00,2026-02-25 20:00:00,62,Participant,Week 1,Cloud Training,05-Aug-2024.csv,05-Aug-2024,Attended
Chloe Carter,chloe.carter@msc.com,2026-02-25 18:57:00,2026-02-25 20:00:00,63,Participant,Week 1,Cloud Training,05-Aug-2024.csv,05-Aug-2024,Attended
Anthony Mitchell,anthony.mitchell@msc.com,2026-02-25 18:03:00,2026-02-25 19:48:00,105,Participant,Week 1,Cloud Training,05-Aug-2024.csv,05-Aug-2024,Attended
Grace Perez,grace.perez@msc.com,2026-02-25 18:19:00,2026-02-25 18:37:00,18,Participant,Week 1,Cloud Training,05-Aug-2024.csv,05-Aug-2024,Not Attended
Joshua Moore,joshua.moore@msc.com,2026-02-25 18:33:00,2026-02-25 19:57:00,84,Participant,Week 1,Cloud Training,05-Aug-2024.csv,05-Aug-2024,Attended
Ella White,ella.white@msc.com,2026-02-25 18:48:00,2026-02-25 19:44:00,56,Participant,Week 1,Cloud Training,05-Aug-2024.csv,05-Aug-2024,Attended
Andrew Ramirez,andrew.ramirez@msc.com,2026-02-25 18:07:00,2026-02-25 18:46:00,39,Participant,Week 1,Cloud Training,05-Aug-2024.csv,05-Aug-2024,Attended
Zoe Walker,zoe.walker@msc.com,2026-02-25 18:30:00,2026-02-25 20:00:00,90,Participant,Week 1,Cloud Training,05-Aug-2024.csv,05-Aug-2024,Attended
Nicholas Allen,nicholas.allen@msc.com,2026-02-25 18:10:00,2026-02-25 19:08:00,58,Participant,Week 1,Cloud Training,05-Aug-2024.csv,05-Aug-2024,Attended
Layla Rivera,layla.rivera@msc.com,2026-02-25 18:41:00,2026-02-25 19:13:00,32,Participant,Week 1,Cloud Training,05-Aug-2024.csv,05-Aug-2024,Attended
Ryan Hill,ryan.hill@msc.com,2026-02-25 18:36:00,2026-02-25 19:26:00,50,Participant,Week 1,Cloud Training,05-Aug-2024.csv,05-Aug-2024,Attended
Hannah Wright,hannah.wright@msc.com,2026-02-25 18:34:00,2026-02-25 20:00:00,86,Participant,Week 1,Cloud Training,05-Aug-2024.csv,05-Aug-2024,Attended
Justin Flores,justin.flores@msc.com,2026-02-25 18:00:00,2026-02-25 19:50:00,110,Participant,Week 1,Cloud Training,05-Aug-2024.csv,05-Aug-2024,Attended
Natalie Collins,natalie.collins@msc.com,2026-02-25 19:00:00,2026-02-25 20:00:00,60,Participant,Week 1,Cloud Training,05-Aug-2024.csv,05-Aug-2024,Attended
Ethan Edwards,ethan.edwards@msc.com,2026-02-25 18:07:00,2026-02-25 18:51:00,44,Participant,Week 1,Cloud Training,05-Aug-2024.csv,05-Aug-2024,Attended
Aria Turner,aria.turner@msc.com,2026-02-25 18:38:00,2026-02-25 20:00:00,82,Participant,Week 1,Cloud Training,05-Aug-2024.csv,05-Aug-2024,Attended
James Williams,james.williams@msc.com,2026-02-25 18:12:00,2026-02-25 20:00:00,108,Participant,Week 1,Cloud Training,06-Aug-2024.csv,06-Aug-2024,Attended
Sarah Johnson,sarah.johnson@msc.com,2026-02-25 18:00:00,2026-02-25 19:48:00,108,Participant,Week 1,Cloud Training,06-Aug-2024.csv,06-Aug-2024,Attended
Michael Brown,michael.brown@msc.com,2026-02-25 18:27:00,2026-02-25 20:00:00,93,Participant,Week 1,Cloud Training,06-Aug-2024.csv,06-Aug-2024,Attended
Emily Davis,emily.davis@msc.com,2026-02-25 18:52:00,2026-02-25 20:00:00,68,Participant,Week 1,Cloud Training,06-Aug-2024.csv,06-Aug-2024,Attended
John Miller,john.miller@msc.com,2026-02-25 18:31:00,2026-02-25 19:46:00,75,Participant,Week 1,Cloud Training,06-Aug-2024.csv,06-Aug-2024,Attended
Olivia Garcia,olivia.garcia@msc.com,2026-02-25 18:02:00,2026-02-25 18:57:00,55,Participant,Week 1,Cloud Training,06-Aug-2024.csv,06-Aug-2024,Attended
David Martinez,david.martinez@msc.com,2026-02-25 18:02:00,2026-02-25 19:31:00,89,Participant,Week 1,Cloud Training,06-Aug-2024.csv,06-Aug-2024,Attended
Emma Wilson,emma.wilson@msc.com,2026-02-25 18:58:00,2026-02-25 19:37:00,39,Participant,Week 1,Cloud Training,06-Aug-2024.csv,06-Aug-2024,Attended
Daniel Anderson,daniel.anderson@msc.com,2026-02-25 18:52:00,2026-02-25 19:57:00,65,Participant,Week 1,Cloud Training,06-Aug-2024.csv,06-Aug-2024,Attended
Sophia Thomas,sophia.thomas@msc.com,2026-02-25 18:55:00,2026-02-25 20:00:00,65,Participant,Week 1,Cloud Training,06-Aug-2024.csv,06-Aug-2024,Attended
Robert Taylor,robert.taylor@msc.com,2026-02-25 18:29:00,2026-02-25 19:41:00,72,Participant,Week 1,Cloud Training,06-Aug-2024.csv,06-Aug-2024,Attended
Mia Lee,mia.lee@msc.com,2026-02-25 18:36:00,2026-02-25 20:00:00,84,Participant,Week 1,Cloud Training,06-Aug-2024.csv,06-Aug-2024,Attended
William Harris,william.harris@msc.com,2026-02-25 18:56:00,2026-02-25 20:00:00,64,Participant,Week 1,Cloud Training,06-Aug-2024.csv,06-Aug-2024,Attended
Isabella Clark,isabella.clark@msc.com,2026-02-25 18:18:00,2026-02-25 19:55:00,97,Participant,Week 1,Cloud Training,06-Aug-2024.csv,06-Aug-2024,Attended
Joseph Lewis,joseph.lewis@msc.com,2026-02-25 18:47:00,2026-02-25 20:00:00,73,Participant,Week 1,Cloud Training,06-Aug-2024.csv,06-Aug-2024,Attended
Charlotte Robinson,charlotte.robinson@msc.com,2026-02-25 18:26:00,2026-02-25 19:57:00,91,Participant,Week 1,Cloud Training,06-Aug-2024.csv,06-Aug-2024,Attended
Benjamin Young,benjamin.young@msc.com,2026-02-25 18:21:00,2026-02-25 19:05:00,44,Participant,Week 1,Cloud Training,06-Aug-2024.csv,06-Aug-2024,Attended
Amelia Hall,amelia.hall@msc.com,2026-02-25 18:53:00,2026-02-25 19:52:00,59,Participant,Week 1,Cloud Training,06-Aug-2024.csv,06-Aug-2024,Attended
Samuel King,samuel.king@msc.com,2026-02-25 19:00:00,2026-02-25 20:00:00,60,Participant,Week 1,Cloud Training,06-Aug-2024.csv,06-Aug-2024,Attended
