Name,Email,Join Time,Leave Time,Duration,Role,Week,Training Type,Source File,Date,Attendance Status
Lucas Anderson,lucasanderson@example.com,2026-02-25 18:02:00,2026-02-25 19:48:00,1:46:00,Participant,Week 1,PowerBI Training,05-Aug-2024.csv,05-Aug-2024,Attended
Emily Johnson,emilyjohnson@example.com,2026-02-25 18:06:00,2026-02-25 19:54:00,1:48:00,Participant,Week 1,PowerBI Training,05-Aug-2024.csv,05-Aug-2024,Attended
Benjamin Harris,benjaminharris@example.com,2026-02-25 18:14:00,2026-02-25 19:57:00,1:43:00,Participant,Week 1,PowerBI Training,05-Aug-2024.csv,05-Aug-2024,Attended
Isabella Moore,isabellamoore@example.com,2026-02-25 18:14:00,2026-02-25 19:52:00,1:38:00,Participant,Week 1,PowerBI Training,05-Aug-2024.csv,05-Aug-2024,Attended
James Carter,jamescarter@example.com,2026-02-25 18:02:00,2026-02-25 19:52:00,1:50:00,Participant,Week 1,PowerBI Training,05-Aug-2024.csv,05-Aug-2024,Attended
Olivia Martin,oliviamartin@example.com,2026-02-25 18:10:00,2026-02-25 19:50:00,1:40:00,Participant,Week 1,PowerBI Training,05-Aug-2024.csv,05-Aug-2024,Attended
Alexander Wright,alexanderwright@example.com,2026-02-25 18:01:00,2026-02-25 19:46:00,1:45:00,Participant,Week 1,PowerBI Training,05-Aug-2024.csv,05-Aug-2024,Attended
Sophia Lewis,sophialewis@example.com,2026-02-25 18:06:00,2026-02-25 19:53:00,1:47:00,Participant,Week 1,PowerBI Training,05-Aug-2024.csv,05-Aug-2024,Attended
Michael Scott,michaelscott@example.com,2026-02-25 18:03:00,2026-02-25 19:51:00,1:48:00,Participant,Week 1,PowerBI Training,05-Aug-2024.csv,05-Aug-2024,Attended
Amelia Clark,ameliaclark@example.com,2026-02-25 18:04:00,2026-02-25 19:58:00,1:54:00,Participant,Week 1,PowerBI Training,05-Aug-2024.csv,05-Aug-2024,Attended
Noah Robinson,noahrobinson@example.com,2026-02-25 18:02:00,2026-02-25 19:50:00,1:48:00,Participant,Week 1,PowerBI Training,05-Aug-2024.csv,05-Aug-2024,Attended
Grace Rodriguez,gracerodriguez@example.com,2026-02-25 18:07:00,2026-02-25 19:56:00,1:49:00,Participant,Week 1,PowerBI Training,05-Aug-2024.csv,05-Aug-2024,Attended
Elijah Turner,elijahturner@example.com,2026-02-25 18:13:00,2026-02-25 19:53:00,1:40:00,Participant,Week 1,PowerBI Training,05-Aug-2024.csv,05-Aug-2024,Attended
Ava Mitchell,avamitchell@example.com,2026-02-25 18:06:00,2026-02-25 19:49:00,1:43:00,Participant,Week 1,PowerBI Training,05-Aug-2024.csv,05-Aug-2024,Attended
William Cooper,williamcooper@example.com,2026-02-25 18:02:00,2026-02-25 19:48:00,1:46:00,Participant,Week 1,PowerBI Training,05-Aug-2024.csv,05-Aug-2024,Attended
Charlotte Hill,charlottehill@example.com,2026-02-25 18:00:00,2026-02-25 19:53:00,1:53:00,Participant,Week 1,PowerBI Training,05-Aug-2024.csv,05-Aug-2024,Attended
Henry Adams,henryadams@example.com,2026-02-25 18:10:00,2026-02-25 19:58:00,1:48:00,Participant,Week 1,PowerBI Training,05-Aug-2024.csv,05-Aug-2024,Attended
Evelyn Baker,evelynbaker@example.com,2026-02-25 18:12:00,2026-02-25 19:57:00,1:45:00,Participant,Week 1,PowerBI Training,05-Aug-2024.csv,05-Aug-2024,Attended
